signal_date,entry_date,exit_date,basket,top1,top2,top1_score,top2_score,margin,top1_weight,top2_weight
2026-05-29,2026-06-01,2026-07-01,89,PALL,EWY,0.9194630872483222,0.8926174496644296,0.02684563758389258,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,90,GDX,URA,0.9261744966442953,0.8523489932885906,0.0738255033557047,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,91,USO,COMT,0.9731543624161074,0.9328859060402684,0.04026845637583898,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,92,USL,EWY,0.9932885906040269,0.8926174496644296,0.10067114093959728,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,93,SOXX,DBC,0.87248322147651,0.825503355704698,0.04697986577181201,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,94,GSG,PALL,0.9865771812080537,0.9194630872483222,0.06711409395973156,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,95,USL,DBO,0.9932885906040269,0.9664429530201343,0.02684563758389258,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,96,COMT,PALL,0.9328859060402684,0.9194630872483222,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,97,BNO,GSG,1.0,0.9865771812080537,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,98,BNO,GDX,1.0,0.9261744966442953,0.0738255033557047,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,99,USO,EWN,0.9731543624161074,0.8456375838926175,0.12751677852348997,1.0,0.0
2026-05-29,2026-06-01,2026-07-01,100,EZA,DBO,0.9798657718120806,0.9664429530201343,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,101,USO,UNG,0.9731543624161074,0.959731543624161,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,102,GSG,COMT,0.9865771812080537,0.9328859060402684,0.05369127516778527,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,103,GDXJ,PPLT,0.9463087248322147,0.9395973154362416,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,104,BNO,EZA,1.0,0.9798657718120806,0.020134228187919434,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,105,DBO,HACK,0.9664429530201343,0.9530201342281879,0.0134228187919464,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,106,BNO,GSG,1.0,0.9865771812080537,0.01342281879194629,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,107,EZA,HACK,0.9798657718120806,0.9530201342281879,0.02684563758389269,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,108,BNO,PALL,1.0,0.9194630872483222,0.08053691275167785,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,109,GSG,EWZ,0.9865771812080537,0.912751677852349,0.0738255033557047,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,110,PPLT,COMT,0.9395973154362416,0.9328859060402684,0.006711409395973145,0.75,0.25
2026-05-29,2026-06-01,2026-07-01,111,UNG,CPER,0.959731543624161,0.7718120805369127,0.18791946308724827,1.0,0.0
2026-05-29,2026-06-01,2026-07-01,112,USO,COMT,0.9731543624161074,0.9328859060402684,0.04026845637583898,0.75,0.25
